Path,Group,Total rate (Hz),,,QCDPt15to30,,,QCDPt30to50,,,QCDPt50to80,,,QCDPt80to120,,,QCDPt120to170,,,QCDPt170to300,,,QCDPt300to470,,,QCDPt470to600,,,QCDPt600to800,,,QCDPt800to1000,,,QCDPt1000to1400,,,QCDPt1400to1800,,,QCDPt1800,,,DYToEE,,,DYToMuMu,,,WToENu,,,WToMuNu,,,QCDEMPt30to80,,,QCDEMPt80to120,,,QCDMuPt30to50,,,QCDMuPt50to80,,,QCDMuPt80to120,,,,Total QCD rate (Hz),,,Total QCD 30to80,,,Total QCD 80to170,,,Total EW rate (Hz),,
HLT_Ele27_eta2p1_WPLoose_Gsf_CentralPFJet30_BTagCSV07_v1,Top,18.93,±,1.01,0.00,±,0.00,2.28,±,0.72,2.38,±,0.28,1.45,±,0.13,0.49,±,0.08,0.47,±,0.08,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.23,±,0.01,0.00,±,0.00,0.90,±,0.05,0.00,±,0.00,8.19,±,0.59,2.12,±,0.17,0.06,±,0.03,0.22,±,0.05,0.12,±,0.06,,,,,,,,,,,,,
HLT_HcalPhiSym_v1,HcalNZS,18.38,±,1.21,0.00,±,0.00,4.56,±,1.02,4.70,±,0.40,1.98,±,0.16,0.59,±,0.08,0.20,±,0.05,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.02,±,0.01,0.00,±,0.00,5.34,±,0.47,0.76,±,0.10,0.06,±,0.03,0.12,±,0.04,0.05,±,0.04,,,,,,,,,,,,,
HLT_QuadPFJet_DoubleBTagCSV_VBF_Mqq200_v2,HIG,17.14,±,2.83,2.79,±,2.79,0.23,±,0.23,0.03,±,0.03,1.08,±,0.12,3.68,±,0.21,7.68,±,0.32,0.00,±,0.00,0.18,±,0.01,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.04,±,0.04,1.39,±,0.14,0.00,±,0.00,0.00,±,0.00,0.05,±,0.04,,,,,,,,,,,,,
HLT_HT500_DisplacedDijet40_Inclusive_v2,EXO,15.99,±,2.83,2.79,±,2.79,0.23,±,0.23,0.34,±,0.11,1.36,±,0.13,3.21,±,0.19,6.16,±,0.29,0.00,±,0.00,0.06,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.25,±,0.10,1.50,±,0.15,0.00,±,0.00,0.01,±,0.01,0.07,±,0.04,,,,,,,,,,,,,
HLT_Mu50_v1,EXO,15.04,±,0.53,0.00,±,0.00,0.23,±,0.23,0.07,±,0.05,0.29,±,0.06,2.15,±,0.16,1.78,±,0.15,0.00,±,0.00,0.04,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,3.47,±,0.13,0.50,±,0.15,0.78,±,0.10,0.32,±,0.07,1.61,±,0.15,3.81,±,0.31,,,,,,,,,,,,,
HLT_Dimuon16_Jpsi_v1,BPH,14.35,±,2.83,2.79,±,2.79,0.23,±,0.23,0.07,±,0.05,0.00,±,0.00,0.09,±,0.03,0.03,±,0.02,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.46,±,0.14,0.06,±,0.03,7.36,±,0.32,2.77,±,0.20,0.50,±,0.11,,,,,,,,,,,,,
HLT_Mu50_eta2p1_v1,noGoogleDoc,14.06,±,0.51,0.00,±,0.00,0.23,±,0.23,0.07,±,0.05,0.27,±,0.06,2.12,±,0.16,1.74,±,0.15,0.00,±,0.00,0.04,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,3.13,±,0.12,0.50,±,0.15,0.75,±,0.10,0.23,±,0.06,1.47,±,0.14,3.51,±,0.30,,,,,,,,,,,,,
HLT_Ele27_eta2p1_WPLoose_Gsf_LooseIsoPFTau20_v1,"Taus,HIG",13.94,±,0.81,0.00,±,0.00,1.60,±,0.60,0.97,±,0.18,0.67,±,0.09,0.21,±,0.05,0.20,±,0.05,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,2.37,±,0.04,0.00,±,0.00,1.15,±,0.06,0.00,±,0.00,5.21,±,0.47,1.46,±,0.14,0.03,±,0.02,0.04,±,0.02,0.02,±,0.02,,,,,,,,,,,,,
HLT_Photon36_R9Id85_OR_CaloId24b40e_Iso50T80L_Photon22_AND_HE10_R9Id65_Eta2_Mass15_v2,EXO,13.86,±,0.73,0.00,±,0.00,0.91,±,0.46,2.42,±,0.28,1.80,±,0.15,0.56,±,0.08,0.39,±,0.07,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,1.41,±,0.03,0.00,±,0.00,0.08,±,0.02,0.00,±,0.00,4.03,±,0.41,2.12,±,0.17,0.00,±,0.00,0.05,±,0.03,0.07,±,0.04,,,,,,,,,,,,,
HLT_RsqMR240_Rsq0p09_MR200_v1,SUSY,13.36,±,2.82,2.79,±,2.79,0.23,±,0.23,0.13,±,0.07,0.93,±,0.11,3.28,±,0.20,5.02,±,0.26,0.00,±,0.00,0.02,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.00,±,0.00,0.01,±,0.00,0.00,±,0.00,0.08,±,0.01,0.02,±,0.01,0.00,±,0.00,0.76,±,0.10,0.00,±,0.00,0.00,±,0.00,0.10,±,0.05,,,,,,,,,,,,,
