HLT Path,L1 Seeds,L1 pre scale,HLT pre scale,Total,,, QCD15to30,,,QCD30to50,,,QCD50to80,,,QCD80to120,,,QCD120to170,,,QCD170to300,,,QCD300to470,,,QCD470to600,,,EMEnr30to80,,,EMEnr80to170,,,MuEnr30to50,,,MuEnr50to80,,,MuEnr80to120,,,WToENu,,,ZToEE,,,WToMuNu,,,ZToMuMu,,
HLT_Dimuon16_Jpsi_v2 , L1_DoubleMu_10_0_WdEta18 ,1,1,20.50,+-,4.64,6.54,+/-,4.62,0.46,+/-,0.33,0.07,+/-,0.05,0.00,+/-,0.00,0.15,+/-,0.01,0.05,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.62,+/-,0.09,0.10,+/-,0.01,8.99,+/-,0.18,2.91,+/-,0.05,0.67,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_DoubleMu4_3_Jpsi_Displaced_v2 , L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0_Eta1p6_WdEta18_OS OR L1_DoubleMu_10_0_WdEta18 , 1 1 1 ,2,19.69,+-,6.54,13.07,+/-,6.54,0.00,+/-,0.00,0.13,+/-,0.07,0.00,+/-,0.00,0.06,+/-,0.01,0.02,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.37,+/-,0.07,0.05,+/-,0.01,4.50,+/-,0.13,1.30,+/-,0.03,0.26,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_RsqMR240_Rsq0p09_MR200_v1 , L1_HTT125 OR L1_HTT150 OR L1_HTT175 OR L1_SingleJet128 OR L1_SingleJet176 OR L1_SingleJet200 OR L1_DoubleJetC84 OR L1_DoubleJetC100 OR L1_QuadJetC40 OR L1_QuadJetC60 , 1 1 1 1 1 1 1 1 1 1 ,1,19.19,+-,3.27,3.27,+/-,3.27,0.00,+/-,0.00,0.27,+/-,0.09,1.57,+/-,0.08,4.92,+/-,0.06,7.24,+/-,0.05,0.41,+/-,0.00,0.03,+/-,0.00,0.01,+/-,0.01,1.26,+/-,0.03,0.00,+/-,0.00,0.01,+/-,0.00,0.09,+/-,0.00,0.09,+/-,0.01,0.01,+/-,0.00,0.04,+/-,0.01,0.00,+/-,0.00
HLT_PFMETNoMu90_NoiseCleaned_PFMHTNoMu90_IDTight_v2 , L1_ETM70 OR L1_ETM60_NotJet52WdPhi2 OR L1_DoubleJetC56_ETM60 OR L1_ETM60 OR L1_ETM50 , 1 1 1 1 1 ,1,19.00,+-,0.50,0.00,+/-,0.00,0.69,+/-,0.40,1.41,+/-,0.22,2.58,+/-,0.11,3.75,+/-,0.05,5.10,+/-,0.04,1.07,+/-,0.00,0.18,+/-,0.00,0.38,+/-,0.07,1.35,+/-,0.03,0.04,+/-,0.01,0.12,+/-,0.01,0.46,+/-,0.01,0.47,+/-,0.02,0.00,+/-,0.00,1.03,+/-,0.03,0.13,+/-,0.01
HLT_Mu27_TkMu8_v2 , L1_SingleMu16 OR L1_SingleMu25 , 1 1 ,1,18.06,+-,0.16,0.00,+/-,0.00,0.00,+/-,0.00,0.03,+/-,0.03,0.04,+/-,0.01,1.86,+/-,0.04,1.56,+/-,0.02,0.29,+/-,0.00,0.04,+/-,0.00,0.37,+/-,0.07,0.79,+/-,0.03,1.23,+/-,0.07,3.62,+/-,0.06,3.43,+/-,0.03,0.00,+/-,0.00,0.00,+/-,0.00,0.17,+/-,0.01,4.52,+/-,0.05
HLT_Dimuon0_Phi_Barrel_v2 , L1_DoubleMu0_Eta1p6_WdEta18 ,1,1,18.05,+-,4.65,6.54,+/-,4.62,0.69,+/-,0.40,0.03,+/-,0.03,0.04,+/-,0.01,0.21,+/-,0.01,0.09,+/-,0.01,0.01,+/-,0.00,0.00,+/-,0.00,0.44,+/-,0.08,0.13,+/-,0.01,6.17,+/-,0.15,2.79,+/-,0.05,0.87,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_DoubleJet90_Double30_TripleCSV0p5_v2 , L1_TripleJet_92_76_64_VBF OR L1_DoubleJetC100 , 1 1 ,1,16.22,+-,0.13,0.00,+/-,0.00,0.00,+/-,0.00,0.07,+/-,0.05,1.10,+/-,0.07,4.03,+/-,0.05,7.49,+/-,0.05,1.57,+/-,0.01,0.22,+/-,0.00,0.06,+/-,0.03,1.49,+/-,0.04,0.00,+/-,0.00,0.01,+/-,0.00,0.14,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_MonoCentralPFJet80_PFMETNoMu90_NoiseCleaned_PFMHTNoMu90_IDTight_v2 , L1_ETM70 OR L1_ETM60_NotJet52WdPhi2 OR L1_DoubleJetC56_ETM60 OR L1_ETM60 OR L1_ETM50 , 1 1 1 1 1 ,1,16.20,+-,0.32,0.00,+/-,0.00,0.23,+/-,0.23,0.70,+/-,0.15,2.08,+/-,0.10,3.50,+/-,0.05,4.99,+/-,0.04,1.07,+/-,0.00,0.18,+/-,0.00,0.23,+/-,0.06,1.21,+/-,0.03,0.00,+/-,0.00,0.07,+/-,0.01,0.41,+/-,0.01,0.37,+/-,0.02,0.00,+/-,0.00,0.85,+/-,0.03,0.11,+/-,0.01
HLT_Photon36_R9Id85_OR_CaloId24b40e_Iso50T80L_Photon22_AND_HE10_R9Id65_Eta2_Mass15_v2 , L1_SingleEG40 OR L1_SingleEG35 OR L1_DoubleEG_22_10 OR L1_DoubleEG_15_10 , 1 1 1 1 ,1,16.06,+-,0.48,0.00,+/-,0.00,0.23,+/-,0.23,2.88,+/-,0.31,2.28,+/-,0.10,0.80,+/-,0.02,0.55,+/-,0.01,0.05,+/-,0.00,0.01,+/-,0.00,4.55,+/-,0.25,2.70,+/-,0.05,0.00,+/-,0.00,0.07,+/-,0.01,0.09,+/-,0.00,0.11,+/-,0.01,2.00,+/-,0.03,0.00,+/-,0.00,0.00,+/-,0.00
HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v2 , L1_DoubleMu_10_3p5 OR L1_DoubleMu_12_5 , 1 1 ,1,15.40,+-,3.27,3.27,+/-,3.27,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.16,+/-,0.01,0.06,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.21,+/-,0.05,0.11,+/-,0.01,3.50,+/-,0.11,2.24,+/-,0.05,0.67,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00,0.03,+/-,0.01,5.09,+/-,0.05
HLT_Diphoton30_18_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass95_v1 , L1_SingleEG40 OR L1_SingleEG25 OR L1_DoubleEG_22_10 OR L1_DoubleEG_15_10 , 1 1 1 1 ,1,15.40,+-,0.55,0.00,+/-,0.00,0.46,+/-,0.33,2.28,+/-,0.28,1.85,+/-,0.09,0.67,+/-,0.02,0.49,+/-,0.01,0.05,+/-,0.00,0.00,+/-,0.00,5.95,+/-,0.29,2.93,+/-,0.05,0.00,+/-,0.00,0.06,+/-,0.01,0.07,+/-,0.00,0.10,+/-,0.01,0.37,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00
HLT_Ele25WP60_Ele8_Mass55_v1 , L1_SingleEG25 ,1,1,15.26,+-,0.57,0.00,+/-,0.00,0.92,+/-,0.46,1.10,+/-,0.19,0.89,+/-,0.06,0.44,+/-,0.02,0.55,+/-,0.01,0.06,+/-,0.00,0.01,+/-,0.00,3.05,+/-,0.21,2.54,+/-,0.05,0.01,+/-,0.01,0.05,+/-,0.01,0.05,+/-,0.00,1.60,+/-,0.04,3.90,+/-,0.05,0.00,+/-,0.00,0.00,+/-,0.00
HLT_PFHT750_4JetPt50_v1 , L1_HTT150 OR L1_HTT175 , 1 1 ,1,14.63,+-,0.06,0.00,+/-,0.00,0.00,+/-,0.00,0.03,+/-,0.03,0.00,+/-,0.00,0.07,+/-,0.01,5.53,+/-,0.04,7.69,+/-,0.01,1.29,+/-,0.00,0.00,+/-,0.00,0.02,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_Mu16_TkMu0_dEta18_Onia_v2 , L1_SingleMu14er OR L1_SingleMu16 , 1 200 ,1,14.17,+-,0.21,0.00,+/-,0.00,0.00,+/-,0.00,0.03,+/-,0.03,0.01,+/-,0.01,0.72,+/-,0.02,0.51,+/-,0.01,0.10,+/-,0.00,0.02,+/-,0.00,0.57,+/-,0.09,0.36,+/-,0.02,5.39,+/-,0.14,4.26,+/-,0.06,1.87,+/-,0.02,0.00,+/-,0.00,0.00,+/-,0.00,0.04,+/-,0.01,0.05,+/-,0.01
HLT_AK8PFHT700_TrimR0p1PT0p03Mass50_v2 , L1_HTT150 OR L1_HTT175 , 1 1 ,1,13.77,+-,0.04,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.01,+/-,0.00,2.67,+/-,0.03,8.94,+/-,0.01,2.16,+/-,0.00,0.01,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_DoubleMediumIsoPFTau40_Trk1_eta2p1_Reg_v2 , L1_DoubleIsoTau36er OR L1_DoubleIsoTau40er OR L1_DoubleIsoTau44er , 1 1 1 ,1,13.77,+-,0.38,0.00,+/-,0.00,0.00,+/-,0.00,3.01,+/-,0.32,2.69,+/-,0.11,1.33,+/-,0.03,1.08,+/-,0.02,0.17,+/-,0.00,0.02,+/-,0.00,2.04,+/-,0.17,2.62,+/-,0.05,0.00,+/-,0.00,0.06,+/-,0.01,0.11,+/-,0.00,0.06,+/-,0.01,0.78,+/-,0.02,0.00,+/-,0.00,0.00,+/-,0.00
HLT_Mu8_TrkIsoVVL_Ele17_CaloIdL_TrackIdL_IsoVL_v2 , L1_Mu5_EG15 ,1,1,13.56,+-,3.30,3.27,+/-,3.27,0.46,+/-,0.33,0.20,+/-,0.08,0.07,+/-,0.02,0.24,+/-,0.01,0.17,+/-,0.01,0.02,+/-,0.00,0.00,+/-,0.00,3.42,+/-,0.22,0.67,+/-,0.02,2.30,+/-,0.09,1.84,+/-,0.04,0.72,+/-,0.01,0.05,+/-,0.01,0.02,+/-,0.00,0.15,+/-,0.01,0.03,+/-,0.00
HLT_QuadJet45_TripleCSV0p5_v2 , L1_HTT175 OR L1_QuadJetC60 , 1 1 ,1,13.44,+-,0.13,0.00,+/-,0.00,0.00,+/-,0.00,0.13,+/-,0.07,1.47,+/-,0.08,3.36,+/-,0.05,5.13,+/-,0.04,1.16,+/-,0.00,0.17,+/-,0.00,0.07,+/-,0.03,1.70,+/-,0.04,0.00,+/-,0.00,0.02,+/-,0.00,0.23,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_PFHT200_DiPFJetAve90_PFAlphaT0p63_v1 , L1_HTT125 OR L1_HTT150 OR L1_HTT175 OR L1_HTT200 OR L1_HTT250 OR L1_ETM40 OR L1_ETM50 OR L1_ETM60 OR L1_ETM70 OR L1_ETM100 , 1 1 1 1 1 1 1 1 4000 1 ,1,12.64,+-,3.28,3.27,+/-,3.27,0.23,+/-,0.23,0.27,+/-,0.09,1.41,+/-,0.08,2.67,+/-,0.04,3.50,+/-,0.03,0.08,+/-,0.00,0.00,+/-,0.00,0.03,+/-,0.02,0.99,+/-,0.03,0.00,+/-,0.00,0.01,+/-,0.00,0.07,+/-,0.00,0.01,+/-,0.00,0.00,+/-,0.00,0.02,+/-,0.00,0.00,+/-,0.00
HLT_Mu17_TrkIsoVVL_TkMu8_TrkIsoVVL_DZ_v2 , L1_DoubleMu_10_3p5 OR L1_DoubleMu_12_5 , 1 1 ,1,12.49,+-,0.29,0.00,+/-,0.00,0.23,+/-,0.23,0.00,+/-,0.00,0.00,+/-,0.00,0.15,+/-,0.01,0.08,+/-,0.00,0.01,+/-,0.00,0.00,+/-,0.00,0.28,+/-,0.06,0.11,+/-,0.01,3.43,+/-,0.11,2.15,+/-,0.04,0.65,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00,0.04,+/-,0.01,5.27,+/-,0.05
HLT_Dimuon20_Jpsi_v2 , L1_DoubleMu_10_0_WdEta18 ,1,1,12.38,+-,3.27,3.27,+/-,3.27,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.13,+/-,0.01,0.04,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.33,+/-,0.07,0.09,+/-,0.01,5.63,+/-,0.14,2.32,+/-,0.05,0.58,+/-,0.01,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
HLT_PFMET90_PFMHT90_IDTight_v1 , L1_ETM70 OR L1_ETM60_NotJet52WdPhi2 OR L1_DoubleJetC56_ETM60 , 1 1 1 ,1,12.38,+-,0.40,0.00,+/-,0.00,0.46,+/-,0.33,0.74,+/-,0.16,1.92,+/-,0.09,2.61,+/-,0.04,3.49,+/-,0.03,0.76,+/-,0.00,0.13,+/-,0.00,0.24,+/-,0.06,0.98,+/-,0.03,0.00,+/-,0.00,0.03,+/-,0.01,0.09,+/-,0.00,0.41,+/-,0.02,0.00,+/-,0.00,0.45,+/-,0.02,0.02,+/-,0.00
HLT_Diphoton30EB_18EB_R9Id_OR_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55_v1 , L1_SingleEG40 OR L1_SingleEG25 OR L1_DoubleEG_22_10 OR L1_DoubleEG_15_10 , 1 1 1 1 ,1,12.31,+-,0.60,0.00,+/-,0.00,0.69,+/-,0.40,2.95,+/-,0.31,1.65,+/-,0.09,0.45,+/-,0.02,0.25,+/-,0.01,0.02,+/-,0.00,0.00,+/-,0.00,4.72,+/-,0.26,1.39,+/-,0.03,0.00,+/-,0.00,0.06,+/-,0.01,0.07,+/-,0.00,0.01,+/-,0.00,0.02,+/-,0.00,0.00,+/-,0.00,0.00,+/-,0.00
